product_name,image_count,product_text
PVC Encased Air Stone,4,"Description:Aqua One PVC Encased Air Stone.Length:10""20""32""42""Aqua One Pvc Encased Air Stone Ideal For:Circulating the water in your tank or AquariumFeatures & Benefits:Multiple SizesHelps to Enrich Oxygen LevelsHigher Water QualityHelps with Filtration System EfficiencySuitable For:All Fish Types and Tan"
Air Stone 2inch,1,"Description:
Aqua One 2"" Air Stone

Aqua One 2"" Air Stone Ideal for:
Replacing oxygen in the water, by breaking the surface tension of the water, oxygen may be absorbed into the water to replenish the supply.

Features & Benefits:
Helps to Enrich Oxygen LevelsHigher Water QualityHelps with Filtration System EfficiencySuitable for:All Tan"
Air Stone 1inch 2 Pack,1,"Description:Aqua One 1"" Air Stone - 2 Pack

Aqua One 1"" Air Stone Ideal for:
Replacing oxygen in the water, by breaking the surface tension of the water, oxygen may be absorbed into the water to replenish the supply.

Features & Benefits:
Helps to Enrich Oxygen LevelsHigher Water QualityHelps with Filtration System EfficiencySuitable for:All Tan"
Air Stone 3_4inch 3 Pack,1,"Description:
Aqua One 3/4"" Air Stone - 3 Pack

Aqua One 3/4"" Air Stone - 3 Pack Ideal for:
Replacing oxygen in the water, by breaking the surface tension of the water, oxygen may be absorbed into the water to replenish the supply.

Features & Benefits:
Helps to Enrich Oxygen LevelsHigher Water QualityHelps with Filtration System EfficiencySuitable for:All Tan"
Air Stone Ball,4,"Description:
Aqua One Air Stone - Ball

Size:
1""2""

Aqua One Air Stone Ball Ideal for:
Replacing oxygen in the water, by breaking the surface tension of the water, oxygen may be absorbed into the water to replenish the supply.

Features & Benefits:
Helps to Enrich Oxygen LevelsHigher Water QualityHelps with Filtration System EfficiencySuitable for:All Tan"
Flexible Air Stone Tube,1,"Description:
Aqua One Flexible Air Stone

Aqua One Flexible Air Stone Ideal for:
Replacing oxygen in the water, by breaking the surface tension of the water, oxygen may be absorbed into the water to replenish the supply.

Pipe Length:
90cm120cm

Features & Benefits:
Bend into any shape you need to create the look you desire.Create less back pressure than traditional air stones, which reduces damage to your air pump.Higher Water QualityHelps with Filtration System EfficiencySuitable For:All Tan"
Aqua One Dial a Diet,4,"Description:
Make feeding time a breeze with the Aqua One Dial a Diet!

The automatic feeder can be set to feed up to 5 times a day, and up to 3 portions per feed! This allows for different quantities to be fed at different times throughout the day. Fish feeding has just become simpler! Suitable for: Coldwater, Tropical & Marine.

Features & Benefits:
Can be set to feed up to 5 times a day and up to 3 portions per feed.Clear easy to read LCD screen with built in digital clock for accurate feed times.Suitable for use with dry foods (i.e. flakes, pellets etc).Can be used manually or set to feed automatically.

Suitable for:
Coldwater, Tropical & Mari"
Plant Weights,4,"Description:
Aqua One Plants Weights are safe for your aquarium and its inhabitants. Plant Weights act as an anchor to hold down your artificial or live plants firmly to the base of your aquarium.

Features & Benefits:
Soft and malleable lead weight holds your plants firmly down.Easy to UseDoes not crack from use and can easily be cut smaller if desired.10 pieces per pack with each plant weight weighing approximately 5 grams each.Suitable for: 
Plan"
101F Maxi Internal Sponge Replacement,1,"Description:
Aqua One 25s Sponge Replacement to suit 101F Internal Filter.

Aqua One 25s Sponge Replacement Designed For:
102F Maxi Internal Filter

Features & Benefits:
Easy to InstallRemoves Harmful Toxins1 per PackBiological Filter SpongeSuitable for:102F Maxi Internal Filt"
Course Fish Net,5,"Description:
Aqua One Coarse Fish Net

Size:
3""4""5""6""8""10""12""

Aqua One Coarse Fish Net Ideal for:
 Checking, adding or removing fish from your aquarium without the risk of injury. Can also be used to remove dead plants.

Features & Benefits:
Multiple SizesLong HandleIdeal for both Small and Large AquariumsSuitable for:All Fish Types and Tan"
